File: cap_01_11_49_55_01.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0     5     5  00000101
       1    25    19  00011001
       2    25    19  00011001
       3    25    19  00011001
       4    48    30  00110000
       5    55    37  00110111
       6    26    1a  00011010
       7    63    3f  00111111
       8     0     0  00000000
       9     0     0  00000000
      10    63    3f  00111111
      11     0     0  00000000
      12     0     0  00000000
      13    58    3a  00111010
      14     0     0  00000000
      15     0     0  00000000
      16    47    2f  00101111
      17     3     3  00000011
      18    48    30  00110000
      19    47    2f  00101111
      20    47    2f  00101111
      21    60    3c  00111100
      22    63    3f  00111111
      23    47    2f  00101111
      24    47    2f  00101111
      25    58    3a  00111010
      26    63    3f  00111111
      27    47    2f  00101111
      28    47    2f  00101111
      29    58    3a  00111010
      30    63    3f  00111111
      31    47    2f  00101111
      32    47    2f  00101111
      33    60    3c  00111100
      34    63    3f  00111111
      35    47    2f  00101111
      36    47    2f  00101111
      37    60    3c  00111100
      38    63    3f  00111111
      39    47    2f  00101111
      40    47    2f  00101111
      41    60    3c  00111100
      42    63    3f  00111111
      43    47    2f  00101111
      44    47    2f  00101111
      45    58    3a  00111010
      46    63    3f  00111111
      47    47    2f  00101111
      48    47    2f  00101111
      49    60    3c  00111100
      50    63    3f  00111111
      51    47    2f  00101111
      52    47    2f  00101111
      53    60    3c  00111100
      54    63    3f  00111111
      55    47    2f  00101111
      56    29    1d  00011101
      57    15     f  00001111
      58    47    2f  00101111
      59    15     f  00001111
      60    32    20  00100000
      61    38    26  00100110
      62    33    21  00100001
      63    28    1c  00011100
      64    22    16  00010110
      65    25    19  00011001
      66    26    1a  00011010
      67    27    1b  00011011
      68    17    11  00010001
      69    18    12  00010010
      70    19    13  00010011
      71    20    14  00010100
      72    16    10  00010000
      73    15     f  00001111
      74    16    10  00010000
      75    16    10  00010000
      76    11     b  00001011
      77    12     c  00001100
      78    15     f  00001111
      79    15     f  00001111
      80     7     7  00000111
      81     8     8  00001000
      82     8     8  00001000
      83     9     9  00001001
      84     7     7  00000111
      85     7     7  00000111
      86     7     7  00000111
      87     7     7  00000111
      88     6     6  00000110
      89     7     7  00000111
      90     6     6  00000110
      91     6     6  00000110
      92     6     6  00000110
      93     7     7  00000111
      94     6     6  00000110
      95     6     6  00000110
      96     7     7  00000111
      97     7     7  00000111
      98     6     6  00000110
      99     6     6  00000110
     100     6     6  00000110
     101     7     7  00000111
     102     6     6  00000110
     103     6     6  00000110
     104     7     7  00000111
     105     7     7  00000111
     106     6     6  00000110
     107     6     6  00000110
     108     7     7  00000111
     109     7     7  00000111
     110     6     6  00000110
     111     6     6  00000110
     112     7     7  00000111
     113     7     7  00000111
     114     6     6  00000110
     115     6     6  00000110
