File: cap_0002.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    35    23  00100011
       1    35    23  00100011
       2    35    23  00100011
       3    35    23  00100011
       4    31    1f  00011111
       5    33    21  00100001
       6    35    23  00100011
       7    35    23  00100011
       8   253    fd  11111101
       9   253    fd  11111101
      10   247    f7  11110111
      11   251    fb  11111011
      12   252    fc  11111100
      13   253    fd  11111101
      14   255    ff  11111111
      15     0     0  00000000
      16   252    fc  11111100
      17   253    fd  11111101
      18   253    fd  11111101
      19   254    fe  11111110
      20   253    fd  11111101
      21   254    fe  11111110
      22   255    ff  11111111
      23   253    fd  11111101
      24   253    fd  11111101
      25   253    fd  11111101
      26   255    ff  11111111
      27   253    fd  11111101
      28   253    fd  11111101
      29   254    fe  11111110
      30   255    ff  11111111
      31   253    fd  11111101
      32   253    fd  11111101
      33   254    fe  11111110
      34   255    ff  11111111
      35   254    fe  11111110
      36   253    fd  11111101
      37   254    fe  11111110
      38   255    ff  11111111
      39   253    fd  11111101
      40   254    fe  11111110
      41   254    fe  11111110
      42   255    ff  11111111
      43   254    fe  11111110
      44   254    fe  11111110
      45   254    fe  11111110
      46   255    ff  11111111
      47   253    fd  11111101
      48   253    fd  11111101
      49   254    fe  11111110
      50   255    ff  11111111
      51   254    fe  11111110
      52   247    f7  11110111
      53   254    fe  11111110
      54   255    ff  11111111
      55   254    fe  11111110
      56    47    2f  00101111
      57   223    df  11011111
      58   247    f7  11110111
      59   254    fe  11111110
      60    29    1d  00011101
      61    29    1d  00011101
      62    30    1e  00011110
      63    32    20  00100000
      64    29    1d  00011101
      65    29    1d  00011101
      66    30    1e  00011110
      67    29    1d  00011101
      68    30    1e  00011110
      69    30    1e  00011110
      70    30    1e  00011110
      71    30    1e  00011110
      72    30    1e  00011110
      73    30    1e  00011110
      74    30    1e  00011110
      75    30    1e  00011110
      76    30    1e  00011110
      77    30    1e  00011110
      78    30    1e  00011110
      79    30    1e  00011110
      80    30    1e  00011110
      81    30    1e  00011110
      82    30    1e  00011110
      83    30    1e  00011110
      84    30    1e  00011110
      85    30    1e  00011110
      86    30    1e  00011110
      87    30    1e  00011110
      88    30    1e  00011110
      89    30    1e  00011110
      90    30    1e  00011110
      91    30    1e  00011110
      92    30    1e  00011110
      93    30    1e  00011110
      94    30    1e  00011110
      95    30    1e  00011110
      96    30    1e  00011110
      97    30    1e  00011110
      98    30    1e  00011110
      99    30    1e  00011110
     100    30    1e  00011110
     101    30    1e  00011110
     102    30    1e  00011110
     103    30    1e  00011110
     104    30    1e  00011110
     105    30    1e  00011110
     106    30    1e  00011110
     107    30    1e  00011110
     108    30    1e  00011110
     109    30    1e  00011110
     110    30    1e  00011110
     111    30    1e  00011110
     112    30    1e  00011110
     113    30    1e  00011110
     114    30    1e  00011110
     115    30    1e  00011110
     116    31    1f  00011111
     117    31    1f  00011111
     118    31    1f  00011111
     119    30    1e  00011110
     120    30    1e  00011110
     121    30    1e  00011110
     122    30    1e  00011110
     123    30    1e  00011110
     124    31    1f  00011111
     125    30    1e  00011110
     126    31    1f  00011111
     127    30    1e  00011110
     128    30    1e  00011110
     129    30    1e  00011110
     130    31    1f  00011111
     131    30    1e  00011110
     132    31    1f  00011111
     133    31    1f  00011111
     134    31    1f  00011111
     135    30    1e  00011110
     136    31    1f  00011111
     137    31    1f  00011111
     138    31    1f  00011111
     139    31    1f  00011111
     140    31    1f  00011111
     141    31    1f  00011111
     142    31    1f  00011111
     143    31    1f  00011111
     144    31    1f  00011111
     145    31    1f  00011111
     146    31    1f  00011111
     147    31    1f  00011111
     148    31    1f  00011111
     149    31    1f  00011111
     150    31    1f  00011111
     151    31    1f  00011111
     152    31    1f  00011111
     153    31    1f  00011111
     154    31    1f  00011111
     155    31    1f  00011111
     156    31    1f  00011111
     157    31    1f  00011111
     158    31    1f  00011111
     159    31    1f  00011111
     160    31    1f  00011111
     161    31    1f  00011111
     162    31    1f  00011111
     163    31    1f  00011111
     164    31    1f  00011111
     165    31    1f  00011111
     166    31    1f  00011111
     167    31    1f  00011111
     168    31    1f  00011111
     169    31    1f  00011111
     170    31    1f  00011111
     171    31    1f  00011111
     172    31    1f  00011111
     173    31    1f  00011111
     174    31    1f  00011111
     175    31    1f  00011111
     176    31    1f  00011111
     177    31    1f  00011111
     178    31    1f  00011111
     179    31    1f  00011111
     180    31    1f  00011111
     181    31    1f  00011111
     182    31    1f  00011111
     183    31    1f  00011111
     184    31    1f  00011111
     185    31    1f  00011111
     186    31    1f  00011111
     187    31    1f  00011111
     188    31    1f  00011111
     189    31    1f  00011111
     190    32    20  00100000
     191    31    1f  00011111
     192    31    1f  00011111
     193    32    20  00100000
     194    32    20  00100000
     195    32    20  00100000
     196    32    20  00100000
     197    31    1f  00011111
     198    32    20  00100000
     199    31    1f  00011111
     200    31    1f  00011111
     201    32    20  00100000
     202    32    20  00100000
     203    32    20  00100000
     204    32    20  00100000
     205    32    20  00100000
     206    32    20  00100000
     207    31    1f  00011111
     208    32    20  00100000
     209    32    20  00100000
     210    32    20  00100000
     211    32    20  00100000
     212    32    20  00100000
     213    32    20  00100000
     214    32    20  00100000
     215    32    20  00100000
     216    32    20  00100000
     217    32    20  00100000
     218    32    20  00100000
     219    32    20  00100000
     220    32    20  00100000
     221    32    20  00100000
     222    32    20  00100000
     223    32    20  00100000
     224    32    20  00100000
     225    32    20  00100000
     226    32    20  00100000
     227    32    20  00100000
     228    32    20  00100000
     229    32    20  00100000
     230    32    20  00100000
     231    32    20  00100000
     232    32    20  00100000
     233    32    20  00100000
     234    32    20  00100000
     235    32    20  00100000
     236    32    20  00100000
     237    32    20  00100000
     238    32    20  00100000
     239    32    20  00100000
     240    32    20  00100000
     241    32    20  00100000
     242    32    20  00100000
     243    32    20  00100000
     244    32    20  00100000
     245    32    20  00100000
     246    32    20  00100000
     247    32    20  00100000
     248    32    20  00100000
     249    32    20  00100000
     250    32    20  00100000
     251    32    20  00100000
     252    32    20  00100000
     253    32    20  00100000
     254    32    20  00100000
     255    32    20  00100000
     256    32    20  00100000
     257    32    20  00100000
     258    32    20  00100000
     259    32    20  00100000
     260    32    20  00100000
     261    32    20  00100000
     262    33    21  00100001
     263    33    21  00100001
     264    32    20  00100000
     265    32    20  00100000
     266    33    21  00100001
     267    32    20  00100000
     268    33    21  00100001
     269    33    21  00100001
     270    33    21  00100001
     271    32    20  00100000
     272    32    20  00100000
     273    33    21  00100001
     274    32    20  00100000
     275    33    21  00100001
     276    33    21  00100001
     277    33    21  00100001
     278    33    21  00100001
     279    33    21  00100001
     280    33    21  00100001
     281    33    21  00100001
     282    33    21  00100001
     283    33    21  00100001
     284    33    21  00100001
     285    33    21  00100001
     286    33    21  00100001
     287    33    21  00100001
     288    33    21  00100001
     289    33    21  00100001
     290    33    21  00100001
     291    33    21  00100001
     292    33    21  00100001
     293    33    21  00100001
     294    33    21  00100001
     295    33    21  00100001
     296    33    21  00100001
     297    33    21  00100001
     298    33    21  00100001
     299    33    21  00100001
     300    33    21  00100001
     301    33    21  00100001
     302    33    21  00100001
     303    33    21  00100001
     304    33    21  00100001
     305    33    21  00100001
     306    33    21  00100001
     307    33    21  00100001
     308    33    21  00100001
     309    33    21  00100001
     310    33    21  00100001
     311    33    21  00100001
     312    33    21  00100001
     313    33    21  00100001
     314    33    21  00100001
     315    33    21  00100001
     316    33    21  00100001
     317    33    21  00100001
     318    33    21  00100001
     319    33    21  00100001
     320    33    21  00100001
     321    33    21  00100001
     322    33    21  00100001
     323    33    21  00100001
     324    33    21  00100001
     325    33    21  00100001
     326    33    21  00100001
     327    33    21  00100001
     328    34    22  00100010
     329    33    21  00100001
     330    33    21  00100001
     331    33    21  00100001
     332    34    22  00100010
     333    33    21  00100001
     334    34    22  00100010
     335    33    21  00100001
     336    33    21  00100001
     337    33    21  00100001
     338    33    21  00100001
     339    33    21  00100001
     340    34    22  00100010
     341    33    21  00100001
     342    34    22  00100010
     343    33    21  00100001
     344    34    22  00100010
     345    34    22  00100010
     346    34    22  00100010
     347    34    22  00100010
     348    34    22  00100010
     349    34    22  00100010
     350    34    22  00100010
     351    34    22  00100010
     352    34    22  00100010
     353    34    22  00100010
     354    34    22  00100010
     355    34    22  00100010
     356    34    22  00100010
     357    34    22  00100010
     358    34    22  00100010
     359    34    22  00100010
     360    34    22  00100010
     361    34    22  00100010
     362    34    22  00100010
     363    34    22  00100010
     364    34    22  00100010
     365    34    22  00100010
     366    34    22  00100010
     367    34    22  00100010
     368    34    22  00100010
     369    34    22  00100010
     370    34    22  00100010
     371    34    22  00100010
     372    34    22  00100010
     373    34    22  00100010
     374    34    22  00100010
     375    34    22  00100010
     376    34    22  00100010
     377    34    22  00100010
     378    34    22  00100010
     379    34    22  00100010
     380    34    22  00100010
     381    34    22  00100010
     382    34    22  00100010
     383    34    22  00100010
     384    34    22  00100010
     385    34    22  00100010
     386    34    22  00100010
     387    34    22  00100010
     388    34    22  00100010
     389    34    22  00100010
     390    35    23  00100011
     391    34    22  00100010
     392    34    22  00100010
     393    34    22  00100010
     394    35    23  00100011
     395    34    22  00100010
     396    34    22  00100010
     397    34    22  00100010
     398    35    23  00100011
     399    34    22  00100010
     400    35    23  00100011
     401    35    23  00100011
     402    35    23  00100011
     403    34    22  00100010
     404    35    23  00100011
     405    35    23  00100011
     406    35    23  00100011
     407    34    22  00100010
     408    35    23  00100011
     409    35    23  00100011
     410    35    23  00100011
     411    35    23  00100011
     412    35    23  00100011
     413    35    23  00100011
     414    35    23  00100011
     415    35    23  00100011
     416    35    23  00100011
     417    35    23  00100011
     418    35    23  00100011
     419    35    23  00100011
     420    35    23  00100011
     421    35    23  00100011
     422    35    23  00100011
     423    35    23  00100011
     424    35    23  00100011
     425    35    23  00100011
     426    35    23  00100011
     427    35    23  00100011
     428    35    23  00100011
     429    35    23  00100011
     430    35    23  00100011
     431    35    23  00100011
     432    35    23  00100011
     433    35    23  00100011
     434    35    23  00100011
     435    35    23  00100011
     436    35    23  00100011
     437    35    23  00100011
     438    35    23  00100011
     439    35    23  00100011
     440    35    23  00100011
     441    35    23  00100011
     442    35    23  00100011
     443    35    23  00100011
     444    36    24  00100100
     445    35    23  00100011
     446    36    24  00100100
     447    35    23  00100011
     448    35    23  00100011
     449    35    23  00100011
     450    36    24  00100100
     451    35    23  00100011
     452    36    24  00100100
     453    35    23  00100011
     454    36    24  00100100
     455    35    23  00100011
     456    35    23  00100011
     457    35    23  00100011
     458    36    24  00100100
     459    35    23  00100011
     460    36    24  00100100
     461    35    23  00100011
     462    35    23  00100011
     463    35    23  00100011
     464    36    24  00100100
     465    36    24  00100100
     466    36    24  00100100
     467    36    24  00100100
     468    36    24  00100100
     469    36    24  00100100
     470    36    24  00100100
     471    36    24  00100100
     472    36    24  00100100
     473    36    24  00100100
     474    36    24  00100100
     475    36    24  00100100
     476    36    24  00100100
     477    36    24  00100100
     478    36    24  00100100
     479    36    24  00100100
     480    36    24  00100100
     481    36    24  00100100
     482    36    24  00100100
     483    36    24  00100100
     484    36    24  00100100
     485    36    24  00100100
     486    36    24  00100100
     487    36    24  00100100
     488    36    24  00100100
     489    36    24  00100100
     490    36    24  00100100
     491    36    24  00100100
     492    36    24  00100100
     493    36    24  00100100
     494    36    24  00100100
     495    36    24  00100100
     496    36    24  00100100
     497    36    24  00100100
     498    36    24  00100100
     499    36    24  00100100
     500    36    24  00100100
     501    36    24  00100100
     502    36    24  00100100
     503    36    24  00100100
     504    36    24  00100100
     505    37    25  00100101
     506    36    24  00100100
     507    36    24  00100100
     508    36    24  00100100
     509    36    24  00100100
     510    37    25  00100101
     511    37    25  00100101
     512    37    25  00100101
     513    37    25  00100101
     514    37    25  00100101
     515    36    24  00100100
     516    37    25  00100101
     517    37    25  00100101
     518    37    25  00100101
     519    36    24  00100100
     520    37    25  00100101
     521    37    25  00100101
     522    37    25  00100101
     523    37    25  00100101
     524    37    25  00100101
     525    37    25  00100101
     526    37    25  00100101
     527    37    25  00100101
     528    37    25  00100101
     529    37    25  00100101
     530    37    25  00100101
     531    37    25  00100101
     532    37    25  00100101
     533    37    25  00100101
     534    37    25  00100101
     535    37    25  00100101
     536    37    25  00100101
     537    37    25  00100101
     538    37    25  00100101
     539    37    25  00100101
     540    37    25  00100101
     541    37    25  00100101
     542    37    25  00100101
     543    37    25  00100101
     544    37    25  00100101
     545    37    25  00100101
     546    37    25  00100101
     547    37    25  00100101
     548    37    25  00100101
     549    37    25  00100101
     550    38    26  00100110
     551    37    25  00100101
     552    37    25  00100101
     553    37    25  00100101
     554    37    25  00100101
     555    37    25  00100101
     556    37    25  00100101
     557    37    25  00100101
     558    38    26  00100110
     559    37    25  00100101
     560    37    25  00100101
     561    37    25  00100101
     562    37    25  00100101
     563    38    26  00100110
     564    37    25  00100101
     565    37    25  00100101
     566    38    26  00100110
     567    37    25  00100101
     568    38    26  00100110
     569    38    26  00100110
     570    38    26  00100110
     571    38    26  00100110
     572    38    26  00100110
     573    38    26  00100110
     574    38    26  00100110
     575    38    26  00100110
     576    38    26  00100110
     577    38    26  00100110
     578    38    26  00100110
     579    38    26  00100110
     580    38    26  00100110
     581    38    26  00100110
     582    38    26  00100110
     583    38    26  00100110
     584    38    26  00100110
