File: cap_0006.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    12     c  00001100
       1    12     c  00001100
       2    12     c  00001100
       3    12     c  00001100
       4    14     e  00001110
       5     7     7  00000111
       6    12     c  00001100
       7    12     c  00001100
       8   125    7d  01111101
       9   254    fe  11111110
      10   121    79  01111001
      11   219    db  11011011
      12   243    f3  11110011
      13   247    f7  11110111
      14   126    7e  01111110
      15     1     1  00000001
      16   253    fd  11111101
      17   255    ff  11111111
      18   254    fe  11111110
      19   255    ff  11111111
      20   253    fd  11111101
      21   253    fd  11111101
      22   254    fe  11111110
      23   253    fd  11111101
      24   253    fd  11111101
      25   255    ff  11111111
      26   255    ff  11111111
      27   253    fd  11111101
      28   254    fe  11111110
      29   255    ff  11111111
      30   255    ff  11111111
      31   255    ff  11111111
      32   254    fe  11111110
      33   127    7f  01111111
      34   255    ff  11111111
      35   127    7f  01111111
      36   254    fe  11111110
      37   127    7f  01111111
      38   255    ff  11111111
      39   127    7f  01111111
      40   254    fe  11111110
      41   255    ff  11111111
      42   255    ff  11111111
      43   127    7f  01111111
      44   254    fe  11111110
      45   255    ff  11111111
      46   255    ff  11111111
      47   255    ff  11111111
      48   254    fe  11111110
      49   255    ff  11111111
      50   255    ff  11111111
      51   255    ff  11111111
      52   238    ee  11101110
      53   247    f7  11110111
      54   255    ff  11111111
      55   255    ff  11111111
      56    18    12  00010010
      57    31    1f  00011111
      58    87    57  01010111
      59   247    f7  11110111
      60    16    10  00010000
      61    15     f  00001111
      62    16    10  00010000
      63    17    11  00010001
      64    14     e  00001110
      65    14     e  00001110
      66    16    10  00010000
      67    16    10  00010000
      68    15     f  00001111
      69    15     f  00001111
      70    15     f  00001111
      71    15     f  00001111
      72    15     f  00001111
      73    15     f  00001111
      74    15     f  00001111
      75    16    10  00010000
      76    15     f  00001111
      77    15     f  00001111
      78    15     f  00001111
      79    15     f  00001111
      80    15     f  00001111
      81    16    10  00010000
      82    15     f  00001111
      83    15     f  00001111
      84    16    10  00010000
      85    16    10  00010000
      86    15     f  00001111
      87    16    10  00010000
      88    15     f  00001111
      89    16    10  00010000
      90    15     f  00001111
      91    16    10  00010000
      92    16    10  00010000
      93    15     f  00001111
      94    16    10  00010000
      95    16    10  00010000
      96    16    10  00010000
      97    16    10  00010000
      98    16    10  00010000
      99    16    10  00010000
     100    16    10  00010000
     101    16    10  00010000
     102    16    10  00010000
     103    16    10  00010000
     104    16    10  00010000
     105    16    10  00010000
     106    16    10  00010000
     107    16    10  00010000
     108    16    10  00010000
     109    16    10  00010000
     110    16    10  00010000
     111    16    10  00010000
     112    16    10  00010000
     113    16    10  00010000
     114    16    10  00010000
     115    16    10  00010000
     116    16    10  00010000
     117    16    10  00010000
     118    16    10  00010000
     119    16    10  00010000
     120    16    10  00010000
     121    16    10  00010000
     122    16    10  00010000
     123    16    10  00010000
     124    16    10  00010000
     125    16    10  00010000
     126    16    10  00010000
     127    16    10  00010000
     128    16    10  00010000
     129    16    10  00010000
     130    16    10  00010000
     131    16    10  00010000
     132    17    11  00010001
     133    16    10  00010000
     134    16    10  00010000
     135    16    10  00010000
     136    16    10  00010000
     137    16    10  00010000
     138    16    10  00010000
     139    16    10  00010000
     140    17    11  00010001
     141    16    10  00010000
     142    16    10  00010000
     143    17    11  00010001
     144    16    10  00010000
     145    16    10  00010000
     146    17    11  00010001
     147    16    10  00010000
     148    16    10  00010000
     149    16    10  00010000
     150    16    10  00010000
     151    17    11  00010001
     152    16    10  00010000
     153    16    10  00010000
     154    17    11  00010001
     155    16    10  00010000
     156    16    10  00010000
     157    17    11  00010001
     158    16    10  00010000
     159    17    11  00010001
     160    17    11  00010001
     161    16    10  00010000
     162    17    11  00010001
     163    17    11  00010001
     164    16    10  00010000
     165    16    10  00010000
     166    17    11  00010001
     167    17    11  00010001
     168    17    11  00010001
     169    18    12  00010010
     170    17    11  00010001
     171    17    11  00010001
     172    17    11  00010001
     173    16    10  00010000
     174    17    11  00010001
     175    16    10  00010000
     176    17    11  00010001
     177    17    11  00010001
     178    16    10  00010000
     179    16    10  00010000
     180    17    11  00010001
     181    16    10  00010000
     182    16    10  00010000
     183    17    11  00010001
     184    16    10  00010000
     185    16    10  00010000
     186    17    11  00010001
     187    17    11  00010001
     188    17    11  00010001
     189    17    11  00010001
     190    17    11  00010001
     191    17    11  00010001
     192    17    11  00010001
     193    17    11  00010001
     194    17    11  00010001
     195    16    10  00010000
     196    17    11  00010001
     197    17    11  00010001
     198    16    10  00010000
     199    17    11  00010001
     200    17    11  00010001
     201    16    10  00010000
     202    17    11  00010001
     203    17    11  00010001
     204    17    11  00010001
     205    17    11  00010001
     206    17    11  00010001
     207    17    11  00010001
     208    16    10  00010000
     209    17    11  00010001
     210    17    11  00010001
     211    18    12  00010010
     212    17    11  00010001
     213    17    11  00010001
     214    17    11  00010001
     215    17    11  00010001
     216    18    12  00010010
     217    17    11  00010001
     218    17    11  00010001
     219    17    11  00010001
     220    18    12  00010010
     221    16    10  00010000
     222    17    11  00010001
     223    17    11  00010001
     224    17    11  00010001
     225    17    11  00010001
     226    17    11  00010001
     227    17    11  00010001
     228    17    11  00010001
     229    17    11  00010001
     230    17    11  00010001
     231    18    12  00010010
     232    17    11  00010001
     233    17    11  00010001
     234    17    11  00010001
     235    17    11  00010001
     236    18    12  00010010
     237    18    12  00010010
     238    17    11  00010001
     239    17    11  00010001
     240    18    12  00010010
     241    17    11  00010001
     242    17    11  00010001
     243    18    12  00010010
     244    17    11  00010001
     245    18    12  00010010
     246    17    11  00010001
     247    18    12  00010010
     248    17    11  00010001
     249    18    12  00010010
     250    18    12  00010010
     251    18    12  00010010
     252    18    12  00010010
     253    18    12  00010010
     254    18    12  00010010
     255    17    11  00010001
     256    18    12  00010010
     257    18    12  00010010
     258    18    12  00010010
     259    18    12  00010010
     260    18    12  00010010
     261    18    12  00010010
     262    18    12  00010010
     263    18    12  00010010
     264    18    12  00010010
     265    18    12  00010010
     266    18    12  00010010
     267    18    12  00010010
     268    18    12  00010010
     269    17    11  00010001
     270    18    12  00010010
     271    18    12  00010010
     272    17    11  00010001
     273    17    11  00010001
     274    18    12  00010010
     275    18    12  00010010
     276    18    12  00010010
     277    18    12  00010010
     278    17    11  00010001
     279    18    12  00010010
     280    18    12  00010010
     281    18    12  00010010
     282    17    11  00010001
     283    18    12  00010010
     284    18    12  00010010
     285    18    12  00010010
     286    18    12  00010010
     287    19    13  00010011
     288    18    12  00010010
     289    18    12  00010010
     290    18    12  00010010
     291    18    12  00010010
     292    18    12  00010010
     293    18    12  00010010
     294    18    12  00010010
     295    18    12  00010010
     296    18    12  00010010
     297    18    12  00010010
     298    18    12  00010010
     299    19    13  00010011
     300    18    12  00010010
     301    18    12  00010010
     302    19    13  00010011
     303    19    13  00010011
     304    18    12  00010010
     305    19    13  00010011
     306    19    13  00010011
     307    19    13  00010011
     308    19    13  00010011
     309    18    12  00010010
     310    19    13  00010011
     311    18    12  00010010
     312    18    12  00010010
     313    19    13  00010011
     314    18    12  00010010
     315    19    13  00010011
     316    19    13  00010011
     317    18    12  00010010
     318    19    13  00010011
     319    19    13  00010011
     320    18    12  00010010
     321    18    12  00010010
     322    19    13  00010011
     323    19    13  00010011
     324    19    13  00010011
     325    19    13  00010011
     326    19    13  00010011
     327    19    13  00010011
     328    19    13  00010011
     329    18    12  00010010
     330    19    13  00010011
     331    19    13  00010011
     332    19    13  00010011
     333    19    13  00010011
     334    19    13  00010011
     335    19    13  00010011
     336    19    13  00010011
     337    19    13  00010011
     338    19    13  00010011
     339    19    13  00010011
     340    19    13  00010011
     341    19    13  00010011
     342    19    13  00010011
     343    19    13  00010011
     344    19    13  00010011
     345    19    13  00010011
     346    19    13  00010011
     347    19    13  00010011
     348    19    13  00010011
     349    19    13  00010011
     350    19    13  00010011
     351    19    13  00010011
     352    19    13  00010011
     353    20    14  00010100
     354    19    13  00010011
     355    20    14  00010100
     356    19    13  00010011
     357    19    13  00010011
     358    19    13  00010011
     359    20    14  00010100
     360    19    13  00010011
     361    20    14  00010100
     362    19    13  00010011
     363    19    13  00010011
     364    20    14  00010100
     365    19    13  00010011
     366    19    13  00010011
     367    20    14  00010100
     368    19    13  00010011
     369    20    14  00010100
     370    21    15  00010101
     371    20    14  00010100
     372    19    13  00010011
     373    20    14  00010100
     374    20    14  00010100
     375    20    14  00010100
     376    20    14  00010100
     377    20    14  00010100
     378    20    14  00010100
     379    19    13  00010011
     380    20    14  00010100
     381    20    14  00010100
     382    19    13  00010011
     383    20    14  00010100
     384    20    14  00010100
     385    19    13  00010011
     386    19    13  00010011
     387    20    14  00010100
     388    19    13  00010011
     389    20    14  00010100
     390    20    14  00010100
     391    20    14  00010100
     392    20    14  00010100
     393    20    14  00010100
     394    20    14  00010100
     395    20    14  00010100
     396    20    14  00010100
     397    20    14  00010100
     398    20    14  00010100
     399    20    14  00010100
     400    20    14  00010100
     401    20    14  00010100
     402    20    14  00010100
     403    20    14  00010100
     404    21    15  00010101
     405    20    14  00010100
     406    20    14  00010100
     407    20    14  00010100
     408    20    14  00010100
     409    20    14  00010100
     410    21    15  00010101
     411    21    15  00010101
     412    20    14  00010100
     413    20    14  00010100
     414    21    15  00010101
     415    21    15  00010101
     416    20    14  00010100
     417    21    15  00010101
     418    21    15  00010101
     419    20    14  00010100
     420    21    15  00010101
     421    21    15  00010101
     422    20    14  00010100
     423    20    14  00010100
     424    20    14  00010100
     425    20    14  00010100
     426    20    14  00010100
     427    20    14  00010100
     428    20    14  00010100
     429    20    14  00010100
     430    20    14  00010100
     431    21    15  00010101
     432    20    14  00010100
     433    20    14  00010100
     434    21    15  00010101
     435    21    15  00010101
     436    21    15  00010101
     437    21    15  00010101
     438    21    15  00010101
     439    21    15  00010101
     440    21    15  00010101
     441    21    15  00010101
     442    20    14  00010100
     443    21    15  00010101
     444    21    15  00010101
     445    20    14  00010100
     446    21    15  00010101
     447    21    15  00010101
     448    20    14  00010100
     449    21    15  00010101
     450    21    15  00010101
     451    21    15  00010101
     452    21    15  00010101
     453    21    15  00010101
     454    21    15  00010101
     455    21    15  00010101
     456    20    14  00010100
     457    21    15  00010101
     458    21    15  00010101
     459    21    15  00010101
     460    21    15  00010101
     461    21    15  00010101
     462    21    15  00010101
     463    21    15  00010101
     464    21    15  00010101
     465    21    15  00010101
     466    21    15  00010101
     467    21    15  00010101
     468    21    15  00010101
     469    21    15  00010101
     470    21    15  00010101
     471    21    15  00010101
     472    21    15  00010101
     473    21    15  00010101
     474    21    15  00010101
     475    21    15  00010101
     476    21    15  00010101
     477    21    15  00010101
     478    21    15  00010101
     479    21    15  00010101
     480    21    15  00010101
     481    21    15  00010101
     482    20    14  00010100
     483    21    15  00010101
     484    21    15  00010101
     485    21    15  00010101
     486    21    15  00010101
     487    21    15  00010101
     488    21    15  00010101
     489    21    15  00010101
     490    21    15  00010101
     491    21    15  00010101
     492    21    15  00010101
     493    21    15  00010101
     494    21    15  00010101
     495    21    15  00010101
     496    21    15  00010101
     497    21    15  00010101
     498    21    15  00010101
     499    21    15  00010101
     500    22    16  00010110
     501    21    15  00010101
     502    21    15  00010101
     503    22    16  00010110
     504    21    15  00010101
     505    21    15  00010101
     506    22    16  00010110
     507    22    16  00010110
     508    22    16  00010110
     509    22    16  00010110
     510    21    15  00010101
     511    22    16  00010110
     512    21    15  00010101
     513    21    15  00010101
     514    22    16  00010110
     515    21    15  00010101
     516    21    15  00010101
     517    21    15  00010101
     518    21    15  00010101
     519    22    16  00010110
     520    21    15  00010101
     521    21    15  00010101
     522    21    15  00010101
     523    22    16  00010110
     524    21    15  00010101
     525    21    15  00010101
     526    22    16  00010110
     527    22    16  00010110
     528    22    16  00010110
     529    21    15  00010101
     530    22    16  00010110
     531    22    16  00010110
     532    22    16  00010110
     533    21    15  00010101
     534    22    16  00010110
     535    21    15  00010101
     536    22    16  00010110
     537    22    16  00010110
     538    21    15  00010101
     539    22    16  00010110
     540    22    16  00010110
     541    21    15  00010101
     542    22    16  00010110
     543    22    16  00010110
     544    22    16  00010110
     545    22    16  00010110
     546    22    16  00010110
     547    22    16  00010110
     548    22    16  00010110
     549    22    16  00010110
     550    22    16  00010110
     551    22    16  00010110
     552    22    16  00010110
     553    22    16  00010110
